| kind | obj                  | ord | detail                                                 | extra                                                                                            |
| col  | school_members       | 8   | is_active                                              | boolean                                                                                          |
| con  | school_members       | 0   | school_members_invited_by_fkey                         | FOREIGN KEY (invited_by) REFERENCES users(id) ON DELETE SET NULL                                 |
| con  | school_members       | 0   | school_members_pkey                                    | PRIMARY KEY (id)                                                                                 |
| con  | school_members       | 0   | school_members_role_id_fkey                            | FOREIGN KEY (role_id) REFERENCES roles(id) ON DELETE RESTRICT                                    |
| con  | school_members       | 0   | school_members_school_id_fkey                          | FOREIGN KEY (school_id) REFERENCES schools(id) ON DELETE CASCADE                                 |
| con  | school_members       | 0   | school_members_user_id_fkey                            | FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE                                     |
| con  | school_members       | 0   | school_members_user_id_school_id_role_id_key           | UNIQUE (user_id, school_id, role_id)                                                             |
| col  | settlement_records   | 1   | id                                                     | uuid                                                                                             |
| col  | settlement_records   | 2   | payment_transaction_id                                 | uuid                                                                                             |
| col  | settlement_records   | 3   | destination                                            | text                                                                                             |
| col  | settlement_records   | 4   | account_number                                         | text                                                                                             |
| col  | settlement_records   | 5   | bank_name                                              | text                                                                                             |
| col  | settlement_records   | 6   | amount                                                 | numeric(12,2)                                                                                    |
| col  | settlement_records   | 7   | settled_at                                             | timestamp with time zone                                                                         |
| col  | settlement_records   | 8   | raw_response                                           | jsonb                                                                                            |
| col  | settlement_records   | 9   | settlement_account_id                                  | uuid                                                                                             |
| col  | settlement_records   | 10  | status                                                 | text                                                                                             |
| col  | settlement_records   | 11  | idempotency_key                                        | text                                                                                             |
| col  | settlement_records   | 12  | failure_reason                                         | text                                                                                             |
| con  | settlement_records   | 0   | settlement_records_amount_check                        | CHECK ((amount >= (0)::numeric))                                                                 |
| con  | settlement_records   | 0   | settlement_records_destination_check                   | CHECK ((destination = ANY (ARRAY['school'::text, 'capflux'::text])))                             |
| con  | settlement_records   | 0   | settlement_records_payment_transaction_id_fkey         | FOREIGN KEY (payment_transaction_id) REFERENCES payment_transactions(id) ON DELETE CASCADE       |
| con  | settlement_records   | 0   | settlement_records_pkey                                | PRIMARY KEY (id)                                                                                 |
| con  | settlement_records   | 0   | settlement_records_settlement_account_id_fkey          | FOREIGN KEY (settlement_account_id) REFERENCES settlement_accounts(id) ON DELETE SET NULL        |
| con  | settlement_records   | 0   | settlement_records_status_check                        | CHECK ((status = ANY (ARRAY['PENDING'::text, 'SUCCESS'::text, 'FAILED'::text])))                 |
| col  | users                | 1   | id                                                     | uuid                                                                                             |
| col  | users                | 2   | email                                                  | text                                                                                             |
| col  | users                | 3   | auth_provider                                          | text                                                                                             |
| col  | users                | 4   | email_verified                                         | boolean                                                                                          |
| col  | users                | 5   | created_at                                             | timestamp with time zone                                                                         |
| col  | users                | 6   | updated_at                                             | timestamp with time zone                                                                         |
| con  | users                | 0   | users_email_key                                        | UNIQUE (email)                                                                                   |
| con  | users                | 0   | users_pkey                                             | PRIMARY KEY (id)                                                                                 |
